Image Filename,Species Name,NBN Atlas Page,Taxon Id,Common Name ,Scientific Name,Wikipedia Page ,First recorded in UK,description,Establishment Means,Number of Occurrences,
Banded_Demoiselle_(C.png,Banded Demoiselle,https://species.nbnatlas.org/species/NBNSYS0000005617,NBNSYS0000005617,Banded Demoiselle,Calopteryx splendens,https://en.wikipedia.org/wiki/Banded_Demoiselle,"Harris, 1782","Banded Demoiselle - A striking damselfly with metallic blue-green body and dark-tinted wings, found near rivers and streams.",Native,88758,
Beautiful_Demoiselle.png,Beautiful Demoiselle,https://species.nbnatlas.org/species/NBNSYS0000005616,NBNSYS0000005616,Beautiful Demoiselle,Calopteryx virgo,https://en.wikipedia.org/wiki/Beautiful_Demoiselle,"Linnaeus, 1758","Beautiful Demoiselle - Similar to the Banded Demoiselle but with broader wings; males have a metallic blue body, females are green-bronze.",Native,39454,
Broad-bodied_Chaser_.png,Broad-bodied Chaser,https://species.nbnatlas.org/species/NBNSYS0000005637,NBNSYS0000005637,Broad-bodied Chaser,Libellula depressa,https://en.wikipedia.org/wiki/Broad-bodied_Chaser,N/A,"Broad-bodied Chaser - A medium-sized dragonfly with a broad, flattened abdomen; males are powder blue, and females are yellow-brown.",Native,73499,
Buff-tailed_Bumblebe.png,Buff-tailed Bumblebee,https://species.nbnatlas.org/species/NHMSYS0020772188,NHMSYS0020772188,Buff-tailed Bumblebee,Bombus terrestris,https://en.wikipedia.org/wiki/Buff-tailed_Bumblebee,N/A,"Buff-tailed Bumblebee - One of the most common bumblebees in the UK, characterized by a buff-colored 'tail' and two yellow bands.",Native,35230,
Cave_Spider_(Meta_me.png,Cave Spider,https://species.nbnatlas.org/species/NBNSYS0000008929,NBNSYS0000008929,Cave Spider,Meta menardi,https://en.wikipedia.org/wiki/Cave_Spider,"Latreille, 1804","Cave Spider - A large, dark-colored spider typically found in caves, cellars, and tunnels. Despite their intimidating appearance, they are harmless to humans.",Native,505,
Comma_butterfly_(Pol.png,Comma Butterfly,https://species.nbnatlas.org/species/NHMSYS0000503893,NHMSYS0000503893,Comma Butterfly,Polygonia c-album,https://en.wikipedia.org/wiki/Comma_Butterfly,"Linnaeus, 1758",Comma Butterfly - Recognizable by its ragged wing edges and orange-brown wings with dark spots. The underside of the wing has a white 'C' shape.,Native,775116,
Common_Blue_butterfl.png,Common Blue Butterfly,https://species.nbnatlas.org/species/NHMSYS0000516660,NHMSYS0000516660,Common Blue Butterfly,Polyommatus icarus,https://en.wikipedia.org/wiki/Common_Blue_Butterfly,"Rottemburg, 1775","Common Blue Butterfly - The most widespread blue butterfly in the UK; males have bright blue wings, while females are brown with orange spots.",Native,1129707,
Common_Crab_Spider_(.png,Common Crab Spider,https://species.nbnatlas.org/species/NHMSYS0000544594,NHMSYS0000544594,Common Crab Spider,Misumena vatia,https://en.wikipedia.org/wiki/Common_Crab_Spider,"Linnaeus, 1758",Common Crab Spider - Known for its crab-like appearance and ability to walk sideways. They can change color to match their surroundings.,Native,10568,
Common_Darter_dragon.png,Common Darter Dragonfly,https://species.nbnatlas.org/species/NHMSYS0000544594,NHMSYS0000544594,Common Darter Dragonfly,Sympetrum striolatum,https://en.wikipedia.org/wiki/Common_Darter_Dragonfly,"Linnaeus, 1758","Common Darter Dragonfly - A small, agile dragonfly; males are red, and females are yellow-brown. They are frequently seen in late summer near water bodies.",Native,10568,
Common_Fox_Spider_(A.png,Common Fox Spider,https://species.nbnatlas.org/species/NHMSYS0000544594,NHMSYS0000544594,Common Fox Spider,Alopecosa pulverulenta,https://en.wikipedia.org/wiki/Common_Fox_Spider,"Linnaeus, 1758","Common Fox Spider - A ground-dwelling spider with excellent vision, known for its speed and hunting prowess. Found in heathlands and grasslands.",Native,10568,
Common_Frog_(Rana_te.png,Common Frog,https://species.nbnatlas.org/species/NBNSYS0000005060,NBNSYS0000005060,Common Frog,Rana temporaria,https://en.wikipedia.org/wiki/Common_Frog,N/A,"Common Frog - Widespread amphibian with smooth skin, varying in color from green to brown, and dark patches. Prefers damp habitats.",Native,107431,
Common_Lizard_(Zooto.png,Common Lizard,https://species.nbnatlas.org/species/NHMSYS0001706186,NHMSYS0001706186,Common Lizard,Zootoca vivipara,https://en.wikipedia.org/wiki/Common_Lizard,"Jacquin, 1787","Common Lizard - The UK's most common reptile, exhibiting a variety of colors from brown to green. Often seen basking in sunny spots.",Native,78242,
Common_Toad_(Bufo_bu.png,Common Toad,https://species.nbnatlas.org/species/NHMSYS0000080159,NHMSYS0000080159,Common Toad,Bufo bufo,https://en.wikipedia.org/wiki/Common_Toad,"Linnaeus, 1758",Common Toad - Characterized by warty skin and short legs. They have a distinctive hopping gait and are commonly found in gardens and woodlands.,Native,77598,
Death_Cap_mushroom_(.png,Death Cap Mushroom,https://species.nbnatlas.org/species/NHMSYS0001473007,NHMSYS0001473007,Death Cap Mushroom,Amanita phalloides,https://en.wikipedia.org/wiki/Death_Cap_Mushroom,N/A,Death Cap Mushroom - A highly toxic mushroom with a pale green or yellow cap and white gills. Responsible for the majority of fatal mushroom poisonings.,Native,15737,
Devils Coach Horse.png,Devil’s Coach Horse,https://species.nbnatlas.org/species/NBNSYS0000023526,NBNSYS0000023526,Devils Coach Horse,Ocypus olens,https://en.wikipedia.org/wiki/Devil’s_Coach_Horse,"M&uuml;ller, O.F., 1764","Devil’s Coach Horse - A large, black beetle known for raising its abdomen when threatened, resembling a scorpion. Common in gardens and under logs.",Native,2897,
European_Adder_(Vipe.png,European Adder,https://species.nbnatlas.org/species/NHMSYS0000455513,NHMSYS0000455513,European Adder,Vipera berus,https://en.wikipedia.org/wiki/European_Adder,N/A,"European Adder - The UK's only venomous snake, identifiable by the dark zigzag pattern along its back. Generally shy and avoids human contact.",Non-native,940,
European_Garden_Spid.png,European Garden Spider,https://species.nbnatlas.org/species/NHMSYS0000455513,NHMSYS0000455513,European Garden Spider,Araneus diadematus,https://en.wikipedia.org/wiki/European_Garden_Spider,N/A,"European Garden Spider - Also known as the cross orb-weaver, it has a distinctive white cross pattern on its abdomen. Builds spiral wheel-shaped webs.",Non-native,940,
False_Black_Widow_Sp.png,False Black Widow Spider,https://species.nbnatlas.org/species/NHMSYS0020706329,NHMSYS0020706329,False Black Widow Spider,Steatoda nobilis,https://en.wikipedia.org/wiki/False_Black_Widow_Spider,"O.P.-Cambridge, 1872","False Black Widow Spider - Often mistaken for the black widow, it has a dark, bulbous abdomen with cream markings. Its venom is not considered dangerous.",Native,1,
Fen_Raft_Spider_(Dol.png,Fen Raft Spider,https://species.nbnatlas.org/species/NBNSYS0000008832,NBNSYS0000008832,Fen Raft Spider,Dolomedes plantarius,https://en.wikipedia.org/wiki/Fen_Raft_Spider,"Clerck, 1757","Fen Raft Spider - One of the UK's largest spiders, capable of walking on water. Found in wetlands and fens, it preys on insects and even small fish.",Native,277,
Fly_Agaric_mushroom_.png,Fly Agaric Mushroom,https://species.nbnatlas.org/species/NHMSYS0001473005,NHMSYS0001473005,Fly Agaric Mushroom,Amanita muscaria,https://en.wikipedia.org/wiki/Fly_Agaric_Mushroom,N/A,"Fly Agaric Mushroom - Iconic red mushroom with white spots, commonly depicted in fairy tales. While toxic, it is rarely fatal and is found in woodlands.",Native,42011,
Grass_Snake_(Natrix_.png,Grass Snake,https://species.nbnatlas.org/species/NHMSYS0021178937,NHMSYS0021178937,Grass Snake,Natrix natrix,https://en.wikipedia.org/wiki/Grass_Snake,"Lac&eacute;p&egrave;de, 1789",Grass Snake - Non-venomous snake with a distinctive yellow collar behind the head. Prefers wet habitats and is an excellent swimmer.,Native,37114,
Great_Crested_Newt_(.png,Great Crested Newt,https://species.nbnatlas.org/species/NHMSYS0000080156,NHMSYS0000080156,Great Crested Newt,Triturus cristatus,https://en.wikipedia.org/wiki/Great_Crested_Newt,"Laurenti, 1768","Great Crested Newt - The largest of the UK's newts, with warty skin and a prominent crest along the back of males during the breeding season. Found in ponds and wetlands.",Native,94199,
